id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;length;divisions;subrhythm
5506;lick;-;UP;David Liebman;-;-;-;-;-;-;31;17;3,2,2,2,1,2,2,4,2,2,3,3,1,2,2,2,2;011,01,11,11,1,11,11,0001,11,11,011,111,1,11,11,11,11
5507;lick;-;MEDIUM;Zoot Sims;-;-;-;-;-;-;9;6;3,1,2,1,2,4;111,1,11,1,01,0001
5508;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;21;12;6,2,2,1,4,6,1,1,6,2,4,4;100011,11,11,1,1001,000101,1,1,100011,01,0001,1100
5509;lick;-;UP;Chris Potter;-;-;-;-;-;-;3;2;1,2;1,11
5510;lick;-;UP;Chris Potter;-;-;-;-;-;-;30;17;1,2,1,3,2,3,1,2,2,2,2,2,2,3,2,2,2;1,11,1,111,11,011,1,01,11,11,11,11,11,110,01,11,11
5511;lick;-;UP;David Liebman;-;-;-;-;-;-;8;5;1,2,4,2,2;1,11,1001,01,11
5512;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;12;7;2,6,3,1,6,4,2;11,010001,110,1,000011,1001,01
5513;line;-;UP;Kenny Dorham;-;-;-;-;-;-;20;11;4,4,2,2,2,2,2,2,2,2,1;1101,1001,11,11,11,11,11,11,01,01,1
5514;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;68;28;4,4,4,6,1,2,6,1,6,4,4,2,4,8,8,6,4,4,4,2,5,4,4,4,2,4,3,1;1110,0001,0011,111011,1,11,000011,1,000011,1101,1111,11,0001,00001111,11111011,011111,0011,0001,0111,11,00011,1111,0001,0001,01,1011,011,1
5515;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;3;2,2,2;11,01,11
5516;lick;-;MEDIUM;Branford Marsalis;-;-;-;-;-;-;22;18;1,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2;1,11,1,1,1,1,1,1,1,1,1,1,11,1001,1,1,01,11
5517;lick;-;MEDIUM;Zoot Sims;-;-;-;-;-;-;10;8;1,2,4,2,1,1,1,1;1,11,1001,01,1,1,1,1
5518;lick;-;MEDIUM;Steve Turre;-;-;-;-;-;-;13;5;3,4,2,8,4;011,0111,11,00100001,1111
5519;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;4;3,2,2,6;011,01,01,011110
5520;lick;-;UP;John Coltrane;-;-;-;-;-;-;11;7;4,2,2,2,4,2,4;0001,11,11,11,0001,11,0001
5521;lick;-;UP;Lee Konitz;-;-;-;-;-;-;6;5;1,1,2,2,2;1,1,01,11,01
5522;lick;-;UP;Stan Getz;-;-;-;-;-;-;10;6;2,2,2,2,2,2;11,11,11,01,01,11
5523;lick;-;MEDIUM UP;Charlie Parker;-;-;-;-;-;-;25;13;6,2,2,5,2,2,3,2,2,2,6,2,1;000011,11,11,00111,11,11,011,11,11,11,010001,01,1
5524;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;12;6;6,2,2,2,6,1;101111,01,11,01,001001,1
5525;lick;-;UP;Miles Davis;-;-;-;-;-;-;11;5;1,4,4,2,2;1,1011,1101,11,11
5526;lick;-;MEDIUM;Pat Martino;-;-;-;-;-;-;4;2;2,2;11,11
5527;line;-;UP;Paul Desmond;-;-;-;-;-;-;31;18;2,2,2,2,2,2,2,4,1,2,2,2,2,4,2,1,1,1;11,11,11,11,11,11,11,1001,1,11,01,11,11,1001,11,1,1,1
5528;line;-;UP;John Coltrane;-;-;-;-;-;-;33;18;3,3,2,3,2,2,2,2,2,1,2,4,1,2,1,2,2,2;011,011,11,011,11,11,11,11,11,1,11,1101,1,01,1,11,11,11
5529;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;18;13;2,2,2,2,2,2,2,2,2,2,1,2,2;01,01,11,11,01,01,01,11,01,11,1,01,11
5530;lick;-;UP;Pat Metheny;-;-;-;-;-;-;23;15;3,3,2,2,2,2,2,2,3,4,1,1,4,1,1;011,011,11,11,01,01,11,11,111,0001,1,1,0001,1,1
5531;lick;-;MEDIUM UP;Sonny Stitt;-;-;-;-;-;-;15;8;2,4,3,1,4,1,6,1,3;01,0111,111,0,0011,0,011011,0,110
5532;lick;-;UP;Phil Woods;-;-;-;-;-;-;25;13;2,4,1,2,2,4,2,4,2,2,1,2,4;01,0011,1,11,11,0011,01,1011,11,11,1,11,1111
5533;line;-;UP;Woody Shaw;-;-;-;-;-;-;52;27;2,2,1,2,2,2,1,2,2,4,2,2,2,5,2,2,2,4,3,2,4,2,4,4,2,2,2;11,11,1,11,01,11,1,11,11,0001,11,11,11,01111,11,01,11,1011,011,01,1011,11,1001,1110,01,11,11
5534;lick;-;UP;John Coltrane;-;-;-;-;-;-;3;2;4,2;0001,11
5535;lick;-;MEDIUM;Michael Brecker;-;-;-;-;-;-;47;18;4,1,2,4,6,6,1,1,2,4,2,2,4,8,12,4,4,4;1111,1,11,0111,001001,010111,1,1,11,0001,01,11,0111,01001111,100101011111,1101,0111,0001
5536;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;2;4,4;1011,0001
5537;line;-;UP;Wynton Marsalis;-;-;-;-;-;-;27;15;2,4,4,2,2,2,2,2,2,2,2,2,2,2,1;11,1011,1100,11,01,11,01,11,11,11,11,01,11,11,1
5538;line;-;UP;David Liebman;-;-;-;-;-;-;67;37;2,4,2,2,2,2,3,2,2,2,2,2,1,4,3,3,2,2,1,4,2,2,2,4,1,2,3,2,4,2,3,3,3,4,2,2,2;11,0001,11,01,11,11,110,11,01,01,11,01,1,1100,111,011,11,11,1,1011,01,11,11,0111,1,01,011,01,0001,11,111,111,011,1101,11,01,11
5539;lick;-;UP;Stan Getz;-;-;-;-;-;-;26;15;2,2,1,1,2,4,2,4,2,2,2,2,2,4,2;11,11,1,1,11,0001,11,1011,11,01,11,11,01,1011,01
5540;lick;-;UP;Lee Konitz;-;-;-;-;-;-;5;2;2,3;11,111
5541;lick;-;UP;David Liebman;-;-;-;-;-;-;22;16;3,3,1,2,1,1,2,2,2,1,2,2,1,1,1,1;011,110,1,01,1,1,11,01,11,1,11,11,1,1,1,1
5542;line;-;UP;John Coltrane;-;-;-;-;-;-;25;11;2,2,4,8,4,2,2,2,2,2,2;11,11,1111,00001011,0111,01,11,11,11,11,11
5543;line;-;UP;Wayne Shorter;-;-;-;-;-;-;15;8;2,2,2,2,2,2,1,2;11,11,11,11,11,11,1,11
5544;line;-;MEDIUM UP;Clifford Brown;-;-;-;-;-;-;16;7;2,2,3,4,4,2,3;11,11,011,0111,1001,11,111
5545;lick;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;3;3;1,1,1;1,1,1
5546;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;26;13;1,4,2,2,4,3,6,2,1,2,4,1,2;1,1101,11,01,1111,110,100011,11,1,11,1001,1,11
5547;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;15;9;1,1,4,1,4,1,4,1,4;1,0,1110,0,1111,0,0111,0,1111
5548;line;-;MEDIUM;Steve Lacy;-;-;-;-;-;-;10;5;6,4,2,2,4;101001,0110,11,01,0110
5549;lick;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;27;9;4,4,4,1,4,4,4,4,4;1111,0111,1111,1,0111,1111,0011,1111,0110
5550;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;9;4;1,4,2,6;1,1100,11,011011
5551;line;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;14;9;1,2,2,1,6,4,2,1,2;1,11,11,1,010001,1001,01,1,11
5552;lick;-;MEDIUM UP;Steve Lacy;-;-;-;-;-;-;31;18;2,1,2,2,4,4,1,2,2,6,2,1,2,1,2,1,2,6;11,1,11,01,1001,1101,1,11,11,100111,11,1,01,1,01,1,11,000011
5553;line;-;UP;Don Byas;-;-;-;-;-;-;18;9;3,2,2,2,4,3,2,4,2;011,11,11,11,0110,110,11,1001,11
5554;line;-;UP;Paul Desmond;-;-;-;-;-;-;2;1;2;11
5555;line;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;7;2;6,2;110111,11
5556;line;-;UP;Herbie Hancock;-;-;-;-;-;-;23;14;2,2,2,2,2,1,2,2,2,3,2,2,2,2;01,11,11,11,11,1,01,01,11,011,11,01,11,11
5557;lick;-;MEDIUM;Paul Desmond;-;-;-;-;-;-;25;11;6,2,2,1,6,5,1,4,2,3,4;010001,11,11,1,000001,01111,1,0111,11,111,1111
5558;lick;-;MEDIUM;Woody Shaw;-;-;-;-;-;-;8;5;4,2,1,4,2;0011,11,1,0001,11
5559;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;30;12;6,2,4,4,2,2,1,4,3,2,7,6;010111,11,0001,1111,11,01,1,1111,111,11,1001111,000001
5560;lick;-;UP;Pat Metheny;-;-;-;-;-;-;11;9;1,4,1,1,1,1,1,2,2;1,1001,1,1,1,1,1,11,01
5561;lick;-;MEDIUM;Joe Henderson;-;-;-;-;-;-;9;4;4,2,2,4;1111,11,11,0001
5562;line;-;MEDIUM;Hank Mobley;-;-;-;-;-;-;23;7;4,2,2,4,6,4,8;1011,11,11,1111,101111,1101,10010101
5563;lick;-;UP;David Liebman;-;-;-;-;-;-;12;5;3,3,3,3,3;011,111,011,111,011
5564;line;-;UP;Joe Henderson;-;-;-;-;-;-;14;8;2,2,1,4,2,4,2,2;11,11,1,1001,11,1100,01,11
5565;line;-;UP;John Coltrane;-;-;-;-;-;-;38;18;2,1,1,3,3,3,4,4,2,2,2,2,2,2,3,3,4,1;11,1,1,111,011,011,1101,0001,11,11,11,11,11,11,111,111,1111,1
5566;lick;-;UP;David Liebman;-;-;-;-;-;-;9;4;2,2,4,2;11,11,1101,11
5567;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;5;4,2,2,2,1;0011,11,11,01,1
5568;lick;-;UP;Bob Berg;-;-;-;-;-;-;5;2;2,4;11,1110
5569;line;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;28;14;2,2,2,1,4,5,1,1,1,2,4,1,4,4;11,11,11,1,1101,11111,1,1,1,01,1001,1,0111,1101
5570;lick;-;MEDIUM;John Coltrane;-;-;-;-;-;-;23;5;6,4,8,6,5;111110,0111,11111110,011111,11001
5571;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;4;1,3,1,2;1,110,1,01
5572;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;10;5;4,3,1,2,2;1001,111,1,11,11
5573;line;-;UP;Dexter Gordon;-;-;-;-;-;-;19;8;2,5,4,2,6,4,2,2;11,00111,0001,11,111100,1101,11,11
5574;lick;-;MEDIUM;Joe Henderson;-;-;-;-;-;-;8;3;4,4,4;1011,0001,1111
5575;line;-;MEDIUM UP;Curtis Fuller;-;-;-;-;-;-;2;2;1,1,2;1,0,01
5576;lick;-;UP;John Coltrane;-;-;-;-;-;-;7;5;4,1,1,2,2;0001,1,1,11,11
5577;line;-;MEDIUM;Steve Turre;-;-;-;-;-;-;17;6;6,2,4,3,6,3;101101,11,1111,011,001001,111
5578;lick;-;UP;John Coltrane;-;-;-;-;-;-;11;7;2,2,2,2,2,1,4;11,01,11,11,01,1,0011
5579;lick;-;UP;Chris Potter;-;-;-;-;-;-;6;5;1,1,1,1,2;1,1,1,1,11
5580;line;-;UP;Sonny Stitt;-;-;-;-;-;-;22;11;2,2,2,6,4,2,2,2,3,2,2;11,11,11,000011,1011,11,01,01,111,11,11
5581;lick;-;UP;Pat Metheny;-;-;-;-;-;-;8;7;1,1,1,1,1,1,2;1,1,1,1,1,1,11
5582;line;-;UP;Dexter Gordon;-;-;-;-;-;-;22;11;3,2,2,2,2,4,2,1,1,3,3;111,01,11,11,11,1011,11,1,1,111,011
5583;line;-;UP;Michael Brecker;-;-;-;-;-;-;28;14;4,4,3,2,4,2,2,2,2,2,2,2,2,2;1011,1111,111,01,1001,11,11,01,11,11,11,11,01,01
5584;lick;-;UP;David Liebman;-;-;-;-;-;-;11;6;2,3,3,4,1,4;01,110,011,0111,1,0011
5585;lick;-;UP;Paul Desmond;-;-;-;-;-;-;15;11;2,2,2,1,2,2,2,1,2,2,2;11,11,01,1,01,11,11,1,01,01,01
5586;lick;-;MEDIUM;Hank Mobley;-;-;-;-;-;-;3;2;8,1;00000011,1
5587;lick;-;UP;Joe Lovano;-;-;-;-;-;-;6;5;4,1,1,4,2;1100,1,1,0001,01
5588;line;-;UP;Dizzy Gillespie;-;-;-;-;-;-;17;9;2,4,2,1,4,2,1,2,2;11,1111,11,1,1001,01,1,11,11
5589;line;-;UP;Herbie Hancock;-;-;-;-;-;-;37;20;2,2,1,2,2,3,2,3,2,2,2,2,2,2,2,1,2,2,1,2;11,11,1,11,11,011,11,011,11,11,11,11,11,11,11,1,11,11,1,11
5590;lick;-;MEDIUM;David Liebman;-;-;-;-;-;-;4;4;1,1,1,1;1,1,1,1
5591;line;-;UP;Miles Davis;-;-;-;-;-;-;15;8;3,2,2,2,2,1,3,2;111,11,01,11,11,1,011,11
5592;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;33;9;4,4,4,4,10,4,4,6,4;1111,1110,0110,1111,1010100101,1110,1111,010111,1111
5593;lick;-;UP;John Coltrane;-;-;-;-;-;-;11;7;2,1,1,4,3,1,3;01,1,1,1001,011,1,111
5594;lick;-;MEDIUM UP;Hank Mobley;-;-;-;-;-;-;13;5;2,2,4,6,6;11,11,0111,000111,100101
5595;line;-;UP;Milt Jackson;-;-;-;-;-;-;17;9;2,2,3,2,2,1,3,2,2;11,11,111,11,11,1,111,01,01
5596;lick;-;UP;Steve Coleman;-;-;-;-;-;-;13;6;2,2,2,4,2,4;11,11,11,0111,01,1101
5597;line;-;UP;Michael Brecker;-;-;-;-;-;-;20;9;2,2,3,3,2,3,2,3,2;11,11,011,011,11,111,11,111,11
5598;lick;-;MEDIUM UP;Miles Davis;-;-;-;-;-;-;10;6;2,2,4,1,2,1;11,11,0110,1,11,1
5599;line;-;UP;Steve Coleman;-;-;-;-;-;-;30;17;2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,4,2;11,01,11,011,111,111,01,11,1,11,01,01,01,11,01,1011,11
5600;line;-;UP;Miles Davis;-;-;-;-;-;-;9;4;2,2,2,4;11,11,11,1101
5601;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;22;5;8,5,4,6,5;00110011,01111,1111,011111,11111
5602;lick;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;9;6;2,2,1,2,2,1;11,11,1,11,01,1
5603;lick;-;MEDIUM;Joe Henderson;-;-;-;-;-;-;10;4;7,4,2,3;0000011,1111,01,111
5604;lick;-;UP;John Coltrane;-;-;-;-;-;-;9;6;1,2,2,2,2,1;1,11,11,01,11,1
5605;lick;-;UP;Miles Davis;-;-;-;-;-;-;5;5;1,1,1,1,2;1,1,1,1,01
5606;line;-;UP;Joe Henderson;-;-;-;-;-;-;5;3;1,2,2;1,11,11
5607;lick;-;UP;Miles Davis;-;-;-;-;-;-;8;5;2,2,1,1,2;11,11,1,1,11
5608;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;9;6;2,1,2,2,2,2;01,1,11,11,11,01
5609;line;-;MEDIUM UP;Eric Dolphy;-;-;-;-;-;-;40;15;3,6,8,4,2,1,4,2,4,2,4,3,2,6,1;111,111110,10101111,1011,01,1,1111,11,1011,11,0111,110,11,000011,1
5610;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;10;6;2,2,2,2,1,2;11,11,01,11,1,11
5611;lick;-;UP;Phil Woods;-;-;-;-;-;-;3;2;2,1;11,1
5612;line;-;UP;Dexter Gordon;-;-;-;-;-;-;14;8;2,1,2,2,2,2,2,1;11,1,11,11,11,11,11,1
5613;lick;-;UP;John Coltrane;-;-;-;-;-;-;14;8;1,4,3,1,2,2,2,2;1,1001,111,1,11,01,11,11
5614;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;13;4;4,4,3,5;0111,0011,111,11111
5615;lick;-;UP;John Coltrane;-;-;-;-;-;-;24;15;2,4,2,2,2,2,1,1,4,1,4,2,1,1,1;11,1011,11,11,01,11,1,1,0011,1,1011,01,1,1,1
5616;lick;-;UP;John Coltrane;-;-;-;-;-;-;3;3;2,1,2;01,1,01
5617;lick;-;UP;Joe Lovano;-;-;-;-;-;-;17;11;1,1,4,1,3,2,2,2,2,2,1;1,1,0001,1,111,11,01,11,11,11,1
5618;line;-;UP;Wayne Shorter;-;-;-;-;-;-;11;6;2,2,2,2,2,2;11,11,11,11,01,11
5619;lick;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;9;5;4,2,4,3,2;1001,11,0001,110,11
5620;lick;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;16;9;2,2,2,1,1,1,4,2,3;11,11,11,1,1,1,1001,11,111
5621;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;14;8;1,1,3,5,3,2,1,1;1,1,011,01111,111,01,1,1
5622;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;30;19;2,4,2,1,1,2,2,3,2,2,1,1,2,6,1,2,2,2,4;01,1111,01,1,1,01,01,111,11,11,1,1,11,010001,1,11,01,11,0001
5623;lick;-;UP;Dizzy Gillespie;-;-;-;-;-;-;23;11;4,1,2,4,6,4,4,2,2,2,2;1011,1,11,1001,111100,1111,0001,11,01,01,11
5624;lick;-;UP;Art Pepper;-;-;-;-;-;-;23;13;4,3,4,4,2,4,2,1,2,2,4,2,2;1111,110,1001,0111,01,0001,01,1,01,11,1001,11,01
5625;line;-;UP;David Liebman;-;-;-;-;-;-;33;18;4,3,6,4,4,2,1,2,2,4,4,2,2,2,2,2,2,2;1001,011,010011,1101,1011,11,1,11,11,0001,0001,11,11,11,01,01,01,11
5626;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;4;2;2,4;01,1011
5627;line;-;UP;Joe Henderson;-;-;-;-;-;-;17;8;2,3,3,2,2,2,2,4;01,011,111,11,11,11,11,1101
5628;line;-;UP;Sonny Rollins;-;-;-;-;-;-;24;15;1,3,2,4,1,1,1,2,2,2,2,2,2,2,4;1,011,11,0001,1,1,1,01,11,11,11,11,11,01,1011
5629;line;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;29;11;5,3,3,2,1,4,3,4,6,1,6;00111,111,011,11,1,1101,111,1101,111100,1,011110
5630;lick;-;UP;Nat Adderley;-;-;-;-;-;-;2;2;1,2;1,01
5631;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;2;2,2;11,11
5632;lick;-;MEDIUM;Eric Dolphy;-;-;-;-;-;-;10;6;4,2,2,2,1,1;1011,01,11,11,1,1
5633;line;-;UP;Pepper Adams;-;-;-;-;-;-;15;8;2,4,4,2,2,1,1,2;11,1001,1101,11,11,1,1,11
5634;line;-;UP;Michael Brecker;-;-;-;-;-;-;30;14;3,3,2,4,1,2,2,2,3,2,2,2,2,2;011,111,11,1111,1,01,11,11,111,11,11,11,11,11
5635;lick;-;MEDIUM;J.J. Johnson;-;-;-;-;-;-;13;8;1,2,1,2,4,1,2,4;1,11,1,11,1001,1,11,0110
5636;lick;-;UP;John Coltrane;-;-;-;-;-;-;9;6;2,1,2,2,1,2;11,1,01,11,1,11
5637;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;17;9;6,2,2,2,2,2,4,1,2;101110,11,11,11,11,01,0001,1,11
5638;lick;-;UP;Joe Henderson;-;-;-;-;-;-;4;2;4,2;1001,11
5639;line;-;MEDIUM;John Coltrane;-;-;-;-;-;-;32;7;4,8,6,6,6,6,8;1100,01101011,101011,011111,111111,011111,10100111
5640;lick;-;UP;John Coltrane;-;-;-;-;-;-;2;2;1,1;1,1
5641;line;-;MEDIUM UP;Sonny Rollins;-;-;-;-;-;-;6;3;2,2,5;11,11,01001
5642;lick;-;UP;John Coltrane;-;-;-;-;-;-;4;2;1,4;1,0111
5643;lick;-;MEDIUM UP;Chet Baker;-;-;-;-;-;-;24;15;1,4,4,6,2,1,2,2,1,2,2,4,4,2,2;1,1001,0001,100101,01,1,01,11,1,01,11,1001,0011,11,11
5644;lick;-;MEDIUM;Eric Dolphy;-;-;-;-;-;-;29;12;4,3,4,2,4,2,3,8,4,1,6,6;0011,111,1110,11,1011,01,011,11101001,0011,1,100001,100011
5645;line;-;UP;Michael Brecker;-;-;-;-;-;-;77;30;5,2,3,3,4,2,1,2,2,2,2,4,4,2,3,4,4,2,1,4,6,2,3,4,5,4,2,2,2,1;00111,11,011,111,1111,01,1,11,11,11,11,1111,1111,11,111,1111,1011,11,1,1100,111011,11,111,1111,10011,1111,11,11,11,1
5646;lick;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;12;4;4,4,4,4;1110,1001,1111,0111
5647;lick;-;MEDIUM;J.J. Johnson;-;-;-;-;-;-;9;6;1,1,1,1,2,4;1,1,1,1,11,1110
5648;line;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;9;4;2,1,4,2;11,1,1111,11
5649;lick;-;UP;Sonny Rollins;-;-;-;-;-;-;7;5;4,1,2,2,2;0011,1,01,01,11
5650;line;-;MEDIUM UP;Eric Dolphy;-;-;-;-;-;-;19;8;4,2,1,4,2,4,4,2;1111,11,1,0111,01,1101,1011,11
5651;lick;-;MEDIUM;Phil Woods;-;-;-;-;-;-;10;5;2,2,2,6,1;11,11,11,011001,1
5652;line;-;UP;Sonny Rollins;-;-;-;-;-;-;6;4;2,1,2,4;11,1,01,1001
5653;lick;-;UP;Joe Henderson;-;-;-;-;-;-;3;2;1,3;1,011
5654;line;-;UP;Paul Desmond;-;-;-;-;-;-;22;13;2,2,2,4,2,2,2,2,2,4,2,2,1;11,11,01,0001,11,11,11,11,11,1001,11,01,1
5655;lick;-;UP;Miles Davis;-;-;-;-;-;-;22;13;4,4,1,1,1,2,2,2,2,1,2,4,4;1001,0001,1,1,1,11,11,11,11,1,11,1001,1011
5656;lick;-;UP;Sonny Rollins;-;-;-;-;-;-;48;31;2,4,2,2,2,3,3,2,2,1,1,2,2,1,1,4,1,2,2,2,2,2,2,1,2,2,2,3,2,2,2;11,0001,11,11,11,110,110,01,11,1,1,01,11,1,1,1001,1,01,11,01,11,11,11,1,11,11,11,011,01,01,01
5657;lick;-;UP;Art Pepper;-;-;-;-;-;-;24;12;4,4,2,2,4,6,2,2,2,2,2,2;0011,1011,11,01,1011,001101,11,01,11,11,11,01
5658;line;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;8;2;4,7;0111,1010111
5659;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;2;2;1,1;1,1
5660;lick;-;MEDIUM;Curtis Fuller;-;-;-;-;-;-;8;5;1,2,2,2,4;1,11,01,11,0110
5661;line;-;MEDIUM SLOW;John Coltrane;-;-;-;-;-;-;17;5;4,6,4,8,4;1111,011111,1110,00001101,1001
5662;line;-;MEDIUM UP;Lee Konitz;-;-;-;-;-;-;41;20;2,4,4,1,1,1,1,1,1,1,1,2,4,2,2,2,3,3,4,1;11,1111,1111,1,1,1,1,1,1,1,1,11,1111,11,11,11,111,111,1111,1
5663;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;18;8;1,3,4,2,2,2,4,1;1,111,1101,11,11,11,1111,1
5664;lick;-;UP;Sonny Rollins;-;-;-;-;-;-;8;7;1,2,1,1,1,1,1;1,11,1,1,1,1,1
5665;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;9;5;3,2,1,2,3;111,01,1,11,011
5666;line;-;UP;Joe Henderson;-;-;-;-;-;-;19;11;2,3,2,1,2,4,1,2,2,2,1;11,011,11,1,11,0111,1,11,01,11,1
5667;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;15;6;2,2,6,4,4,4;11,01,111111,0001,1111,0001
5668;line;-;UP;Michael Brecker;-;-;-;-;-;-;79;39;2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,5,4,2,2,1,3,2,2,4,6;11,11,11,11,0111,11,11,11,01,11,11,11,11,11,1,11,11,11,11,11,01,1,11,11,11,11,11,11,1,11111,1101,11,11,1,011,11,11,1101,000111
5669;line;-;UP;Phil Woods;-;-;-;-;-;-;48;27;2,2,2,2,1,2,2,4,2,1,2,2,2,2,2,2,2,3,1,4,2,2,1,3,2,2,4;11,11,11,11,1,11,11,0001,11,1,11,11,11,11,11,11,11,111,1,0001,11,11,1,011,01,11,0110
5670;lick;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;23;13;2,2,2,1,6,2,2,2,2,3,2,2,1;11,11,11,1,000011,11,01,11,11,111,01,11,1
5671;line;-;UP;Miles Davis;-;-;-;-;-;-;11;7;2,6,1,1,1,3,1;11,100011,1,1,1,011,1
5672;lick;-;MEDIUM;Dizzy Gillespie;-;-;-;-;-;-;8;5;2,2,2,4,4;01,11,01,1001,1001
5673;line;-;UP;Chris Potter;-;-;-;-;-;-;24;12;4,1,2,3,2,3,2,2,2,3,2,2;1110,1,11,111,01,011,11,11,11,011,11,11
5674;line;-;UP;Joe Lovano;-;-;-;-;-;-;12;7;2,2,1,2,2,2,2;11,11,1,11,11,01,11
5675;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;14;9;1,3,2,2,2,2,4,2,2;1,111,01,01,11,01,0111,01,01
5676;lick;-;UP;Steve Coleman;-;-;-;-;-;-;14;9;4,2,2,2,1,2,4,4,2;0001,01,11,11,1,11,0011,0001,11
5677;line;-;UP;Sonny Stitt;-;-;-;-;-;-;28;12;3,2,2,4,4,2,2,6,2,6,4,2;111,11,11,1101,0001,11,11,000011,11,111111,0001,11
5678;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;4;4;1,2,1,4;1,01,1,0001
5679;line;-;UP;Michael Brecker;-;-;-;-;-;-;37;19;2,2,2,3,2,2,2,4,1,2,2,4,3,3,2,2,1,4,4;11,11,01,111,11,11,01,0001,1,11,11,1001,111,011,11,11,1,0111,1110
5680;line;-;UP;Steve Coleman;-;-;-;-;-;-;13;6;4,2,2,2,2,2;1101,11,11,11,11,11
5681;line;-;UP;Gerry Mulligan;-;-;-;-;-;-;47;26;2,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2;11,11,1,1,1011,11,11,11,11,11,11,01,11,01,11,11,11,11,11,01,11,11,11,01,11,11
5682;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;26;15;2,2,2,2,2,2,2,2,4,2,2,2,2,2,2;11,11,11,11,11,11,01,11,0011,01,01,11,11,11,01
5683;lick;-;UP;Clifford Brown;-;-;-;-;-;-;11;3;5,4,4;01111,1101,1111
5684;line;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;33;14;4,4,2,2,2,2,2,2,2,4,4,2,2,2;0011,1111,11,11,11,01,11,11,11,1111,1111,11,11,11
5685;lick;-;UP;Steve Coleman;-;-;-;-;-;-;7;4;2,2,4,2;01,11,1101,01
5686;line;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;22;8;1,2,2,5,6,6,6,4;1,11,11,01111,100011,000011,111011,1011
5687;line;-;MEDIUM;Woody Shaw;-;-;-;-;-;-;18;7;1,2,4,4,6,1,3;1,11,1001,1101,111111,1,111
5688;line;-;UP;John Coltrane;-;-;-;-;-;-;20;10;2,1,4,4,4,2,2,2,1,4;11,1,1111,0011,1011,11,11,11,1,0001
5689;line;-;MEDIUM;Lee Konitz;-;-;-;-;-;-;36;18;6,8,2,2,2,2,1,1,2,2,6,2,2,2,2,2,2,2;010001,01000001,11,11,11,11,1,1,11,11,011011,11,11,11,11,11,11,11
5690;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;3;3;1,1,1;1,1,1
